name,html_url,git_url,forks,stars,language,size,csharp_percent,csharp_lines,commit_count,default_branch,repo_path,status,time_taken
chexiongsheng/puerts_unity_demo,https://github.com/chexiongsheng/puerts_unity_demo,git://github.com/chexiongsheng/puerts_unity_demo.git,73,167,C#,1305753,0.7576222924580277,653203,296,master,D:\DataCollection\repos\chexiongsheng_puerts_unity_demo,,51
etodd/Lemma,https://github.com/etodd/Lemma,git://github.com/etodd/Lemma.git,71,566,C#,1278262,0.8874318637019788,7783522,1090,master,D:\DataCollection\repos\etodd_Lemma,,26
microsoft/powerapps-tools,https://github.com/microsoft/powerapps-tools,git://github.com/microsoft/powerapps-tools.git,415,975,C#,1250133,0.8154103297812114,211727,803,master,D:\DataCollection\repos\microsoft_powerapps-tools,,43
FUSEEProjectTeam/Fusee,https://github.com/FUSEEProjectTeam/Fusee,git://github.com/FUSEEProjectTeam/Fusee.git,37,79,C#,1241967,0.8459169068407238,10716868,5377,master,D:\DataCollection\repos\FUSEEProjectTeam_Fusee,,64
LegacyGwent/LegacyGwent,https://github.com/LegacyGwent/LegacyGwent,git://github.com/LegacyGwent/LegacyGwent.git,21,132,C#,1226915,0.979666980249558,2226448,1137,diy,D:\DataCollection\repos\LegacyGwent_LegacyGwent,,116
EnoxSoftware/DlibFaceLandmarkDetector,https://github.com/EnoxSoftware/DlibFaceLandmarkDetector,git://github.com/EnoxSoftware/DlibFaceLandmarkDetector.git,29,92,C#,1226003,1.0,253038,41,master,D:\DataCollection\repos\EnoxSoftware_DlibFaceLandmarkDetector,,2
Koziev/NLP_Datasets,https://github.com/Koziev/NLP_Datasets,git://github.com/Koziev/NLP_Datasets.git,50,319,C#,1183463,0.6895325795547267,35493,105,master,D:\DataCollection\repos\Koziev_NLP_Datasets,,132
finol-digital/Card-Game-Simulator,https://github.com/finol-digital/Card-Game-Simulator,git://github.com/finol-digital/Card-Game-Simulator.git,63,257,C#,1144639,0.973765582062964,4108428,3466,develop,D:\DataCollection\repos\finol-digital_Card-Game-Simulator,,33
syncfusion/winforms-demos,https://github.com/syncfusion/winforms-demos,git://github.com/syncfusion/winforms-demos.git,111,165,C#,1141294,0.7314979809199073,31778142,102,master,D:\DataCollection\repos\syncfusion_winforms-demos,,22
APSIMInitiative/ApsimX,https://github.com/APSIMInitiative/ApsimX,git://github.com/APSIMInitiative/ApsimX.git,152,111,C#,1140748,0.717874644684599,13696204,24861,master,D:\DataCollection\repos\APSIMInitiative_ApsimX,,48
nopSolutions/nopCommerce,https://github.com/nopSolutions/nopCommerce,git://github.com/nopSolutions/nopCommerce.git,4862,8453,C#,1118488,0.6174691814414406,14320315,14395,develop,D:\DataCollection\repos\nopSolutions_nopCommerce,,5
Unity-Technologies/Standard-Assets-Characters,https://github.com/Unity-Technologies/Standard-Assets-Characters,git://github.com/Unity-Technologies/Standard-Assets-Characters.git,158,534,C#,1101066,0.8576853106978823,410640,2961,master,D:\DataCollection\repos\Unity-Technologies_Standard-Assets-Characters,,16
MyCaffe/MyCaffe,https://github.com/MyCaffe/MyCaffe,git://github.com/MyCaffe/MyCaffe.git,17,92,C#,1098642,0.8364308416362652,13386143,4905,master,D:\DataCollection\repos\MyCaffe_MyCaffe,,34
MicrosoftDocs/windows-dev-docs,https://github.com/MicrosoftDocs/windows-dev-docs,git://github.com/MicrosoftDocs/windows-dev-docs.git,1169,589,C#,1097868,0.7204979022850043,1163326,14479,docs,D:\DataCollection\repos\MicrosoftDocs_windows-dev-docs,,95
OneSignal/OneSignal-Unity-SDK,https://github.com/OneSignal/OneSignal-Unity-SDK,git://github.com/OneSignal/OneSignal-Unity-SDK.git,61,208,C#,1093587,0.9064219231640824,331987,1058,main,D:\DataCollection\repos\OneSignal_OneSignal-Unity-SDK,,1
microsoft/MoveBox-for-Microsoft-Rocketbox,https://github.com/microsoft/MoveBox-for-Microsoft-Rocketbox,git://github.com/microsoft/MoveBox-for-Microsoft-Rocketbox.git,20,81,C#,1082931,0.9852526525888544,17660039,56,master,D:\DataCollection\repos\microsoft_MoveBox-for-Microsoft-Rocketbox,,209
microsoft/MRDL_Unity_Surfaces,https://github.com/microsoft/MRDL_Unity_Surfaces,git://github.com/microsoft/MRDL_Unity_Surfaces.git,26,80,C#,1072328,0.979005772170242,5437121,23,master,D:\DataCollection\repos\microsoft_MRDL_Unity_Surfaces,,172
CragonGame/CasinosClient,https://github.com/CragonGame/CasinosClient,git://github.com/CragonGame/CasinosClient.git,239,356,C#,1059426,0.8813661327147799,24689609,460,master,D:\DataCollection\repos\CragonGame_CasinosClient,,88
WolfireGames/7DFPS,https://github.com/WolfireGames/7DFPS,git://github.com/WolfireGames/7DFPS.git,100,319,C#,1050570,0.9953023671978204,2783166,1172,master,D:\DataCollection\repos\WolfireGames_7DFPS,,108
yatt-ze/The-Collection,https://github.com/yatt-ze/The-Collection,git://github.com/yatt-ze/The-Collection.git,243,577,C#,1047158,0.7453843901175665,5019335,13,master,D:\DataCollection\repos\yatt-ze_The-Collection,,213
Analogy-LogViewer/Analogy.LogViewer,https://github.com/Analogy-LogViewer/Analogy.LogViewer,git://github.com/Analogy-LogViewer/Analogy.LogViewer.git,38,238,C#,1030093,0.8874422731703092,1168166,2296,main,D:\DataCollection\repos\Analogy-LogViewer_Analogy.LogViewer,,52
microsoft/MixedRealityCompanionKit,https://github.com/microsoft/MixedRealityCompanionKit,git://github.com/microsoft/MixedRealityCompanionKit.git,296,579,C#,1023862,0.7770126350969573,8079086,463,master,D:\DataCollection\repos\microsoft_MixedRealityCompanionKit,,75
Unity-Technologies/UniversalRenderingExamples,https://github.com/Unity-Technologies/UniversalRenderingExamples,git://github.com/Unity-Technologies/UniversalRenderingExamples.git,415,1880,C#,1001750,0.7509774728120145,464044,144,master,D:\DataCollection\repos\Unity-Technologies_UniversalRenderingExamples,,201
BK-TN/Sanicball,https://github.com/BK-TN/Sanicball,git://github.com/BK-TN/Sanicball.git,30,89,C#,952121,0.7452311110041232,866826,237,master,D:\DataCollection\repos\BK-TN_Sanicball,,54
NeoAxis/NeoAxisEngine,https://github.com/NeoAxis/NeoAxisEngine,git://github.com/NeoAxis/NeoAxisEngine.git,32,135,C#,941860,0.8762984656905097,49733614,232,master,D:\DataCollection\repos\NeoAxis_NeoAxisEngine,,136
vuplex/oculus-webview-example,https://github.com/vuplex/oculus-webview-example,git://github.com/vuplex/oculus-webview-example.git,26,85,C#,939598,0.973951406205432,8608064,42,master,D:\DataCollection\repos\vuplex_oculus-webview-example,,68
zkSNACKs/WalletWasabi,https://github.com/zkSNACKs/WalletWasabi,git://github.com/zkSNACKs/WalletWasabi.git,473,1904,C#,933554,0.9885669169548944,4340999,33239,master,D:\DataCollection\repos\zkSNACKs_WalletWasabi,,10
Phynic/SLGanim,https://github.com/Phynic/SLGanim,git://github.com/Phynic/SLGanim.git,51,190,C#,918348,0.8999499500234105,613153,601,master,D:\DataCollection\repos\Phynic_SLGanim,,3
Blecki/dwarfcorp,https://github.com/Blecki/dwarfcorp,git://github.com/Blecki/dwarfcorp.git,67,554,C#,910755,0.9700837238842585,5156546,4076,master,D:\DataCollection\repos\Blecki_dwarfcorp,,69
kowalej/BlueMuse,https://github.com/kowalej/BlueMuse,git://github.com/kowalej/BlueMuse.git,28,154,C#,906246,0.992884041753422,286593,138,master,D:\DataCollection\repos\kowalej_BlueMuse,,45
dnnsoftware/Dnn.Platform,https://github.com/dnnsoftware/Dnn.Platform,git://github.com/dnnsoftware/Dnn.Platform.git,742,963,C#,904349,0.6507420225062542,21596087,18224,develop,D:\DataCollection\repos\dnnsoftware_Dnn.Platform,,12
jinsek/MightyTerrainMesh,https://github.com/jinsek/MightyTerrainMesh,git://github.com/jinsek/MightyTerrainMesh.git,93,412,C#,898983,0.8605635794126211,1022575,36,master,D:\DataCollection\repos\jinsek_MightyTerrainMesh,,51
mixcore/mix.core,https://github.com/mixcore/mix.core,git://github.com/mixcore/mix.core.git,173,651,C#,896551,0.9999593176314716,24358456,2954,master,D:\DataCollection\repos\mixcore_mix.core,,3
RandomEngy/VidCoder,https://github.com/RandomEngy/VidCoder,git://github.com/RandomEngy/VidCoder.git,43,608,C#,887111,0.9692036808601224,1595758,1716,master,D:\DataCollection\repos\RandomEngy_VidCoder,,6
cmacmillan/CurveDesigner,https://github.com/cmacmillan/CurveDesigner,git://github.com/cmacmillan/CurveDesigner.git,16,169,C#,851706,0.9734746983472996,377091,444,master,D:\DataCollection\repos\cmacmillan_CurveDesigner,,86
DynamoDS/DynamoRevit,https://github.com/DynamoDS/DynamoRevit,git://github.com/DynamoDS/DynamoRevit.git,181,292,C#,846858,0.997634556759136,2558780,2350,master,D:\DataCollection\repos\DynamoDS_DynamoRevit,,52
cabbagecreek/Marlin3DprinterTool,https://github.com/cabbagecreek/Marlin3DprinterTool,git://github.com/cabbagecreek/Marlin3DprinterTool.git,65,245,C#,845032,0.6860365116956583,784161,339,master,D:\DataCollection\repos\cabbagecreek_Marlin3DprinterTool,,3
Appdynamics/AppDynamics.DEXTER,https://github.com/Appdynamics/AppDynamics.DEXTER,git://github.com/Appdynamics/AppDynamics.DEXTER.git,47,84,C#,840212,0.992730977470914,5549252,263,master,D:\DataCollection\repos\Appdynamics_AppDynamics.DEXTER,,22
reinforcement-learning-kr/Unity_ML_Agents,https://github.com/reinforcement-learning-kr/Unity_ML_Agents,git://github.com/reinforcement-learning-kr/Unity_ML_Agents.git,49,79,C#,839606,0.8044279346033452,5385859,58,master,,failed: Failed to clone reinforcement-learning-kr/Unity_ML_Agents!,239
openrails/openrails,https://github.com/openrails/openrails,git://github.com/openrails/openrails.git,74,191,C#,826657,0.8190789880106635,13789162,7752,master,D:\DataCollection\repos\openrails_openrails,,10
dotnet/AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,git://github.com/dotnet/AspNetCore.Docs.git,25560,11932,C#,823986,0.6046471348511178,8134044,16318,main,D:\DataCollection\repos\dotnet_AspNetCore.Docs,,10
dotnet/runtime,https://github.com/dotnet/runtime,git://github.com/dotnet/runtime.git,4171,12717,C#,822906,0.7935763597473824,384507673,129847,main,,failed: Failed to clone dotnet/runtime!,47
uxmal/reko,https://github.com/uxmal/reko,git://github.com/uxmal/reko.git,231,1787,C#,817756,0.6271513691538805,28723946,10534,master,D:\DataCollection\repos\uxmal_reko,,15
Unity-Technologies/Kinematica_Demo,https://github.com/Unity-Technologies/Kinematica_Demo,git://github.com/Unity-Technologies/Kinematica_Demo.git,34,168,C#,817735,0.9628150797344636,314440,73,0.8/release,D:\DataCollection\repos\Unity-Technologies_Kinematica_Demo,,192
Taritsyn/JavaScriptEngineSwitcher,https://github.com/Taritsyn/JavaScriptEngineSwitcher,git://github.com/Taritsyn/JavaScriptEngineSwitcher.git,69,413,C#,817036,0.8011733284830723,933826,784,master,D:\DataCollection\repos\Taritsyn_JavaScriptEngineSwitcher,,10
nxrighthere/UnrealCLR,https://github.com/nxrighthere/UnrealCLR,git://github.com/nxrighthere/UnrealCLR.git,202,2891,C#,816535,0.6523453360299674,682834,381,master,D:\DataCollection\repos\nxrighthere_UnrealCLR,,23
ScutGame/Scut,https://github.com/ScutGame/Scut,git://github.com/ScutGame/Scut.git,587,1320,C#,814074,0.6489664431171217,4246619,1082,master,D:\DataCollection\repos\ScutGame_Scut,,13
matryx/calcflow,https://github.com/matryx/calcflow,git://github.com/matryx/calcflow.git,58,491,C#,808307,0.952833062084283,12444541,496,master,D:\DataCollection\repos\matryx_calcflow,,39
Voltstro-Studios/Team-Capture,https://github.com/Voltstro-Studios/Team-Capture,git://github.com/Voltstro-Studios/Team-Capture.git,21,91,C#,805939,0.9242721064095958,733653,1564,master,D:\DataCollection\repos\Voltstro-Studios_Team-Capture,,25
Armour/Multiplayer-FPS,https://github.com/Armour/Multiplayer-FPS,git://github.com/Armour/Multiplayer-FPS.git,271,803,C#,795326,0.9660126953755664,1690301,101,master,D:\DataCollection\repos\Armour_Multiplayer-FPS,,56
syncfusion/xamarin-demos,https://github.com/syncfusion/xamarin-demos,git://github.com/syncfusion/xamarin-demos.git,202,313,C#,791428,0.9790689532066796,18201586,130,master,D:\DataCollection\repos\syncfusion_xamarin-demos,,12
abpframework/abp,https://github.com/abpframework/abp,git://github.com/abpframework/abp.git,3185,11233,C#,780571,0.803819173722588,11995240,31816,dev,D:\DataCollection\repos\abpframework_abp,,32
ChilliCream/graphql-platform,https://github.com/ChilliCream/graphql-platform,git://github.com/ChilliCream/graphql-platform.git,685,4648,C#,774782,0.976001405272028,18674481,3274,main,D:\DataCollection\repos\ChilliCream_graphql-platform,,39
mongodb/mongo-csharp-driver,https://github.com/mongodb/mongo-csharp-driver,git://github.com/mongodb/mongo-csharp-driver.git,1270,3044,C#,773322,0.983364848805936,24337512,4446,master,D:\DataCollection\repos\mongodb_mongo-csharp-driver,,4
PlayFab/UnicornBattle,https://github.com/PlayFab/UnicornBattle,git://github.com/PlayFab/UnicornBattle.git,54,113,C#,773304,0.93529686990747,7906013,129,master,D:\DataCollection\repos\PlayFab_UnicornBattle,,99
Syomus/ProceduralToolkit,https://github.com/Syomus/ProceduralToolkit,git://github.com/Syomus/ProceduralToolkit.git,200,2295,C#,772262,0.97777559663281,1484323,723,master,D:\DataCollection\repos\Syomus_ProceduralToolkit,,1
WolvenKit/WolvenKit,https://github.com/WolvenKit/WolvenKit,git://github.com/WolvenKit/WolvenKit.git,153,724,C#,770556,0.993052047246663,18357438,3610,main,D:\DataCollection\repos\WolvenKit_WolvenKit,,28
KillzXGaming/Switch-Toolbox,https://github.com/KillzXGaming/Switch-Toolbox,git://github.com/KillzXGaming/Switch-Toolbox.git,124,795,C#,767444,0.9847905999337988,8577340,2869,master,D:\DataCollection\repos\KillzXGaming_Switch-Toolbox,,9
Nethereum/Nethereum,https://github.com/Nethereum/Nethereum,git://github.com/Nethereum/Nethereum.git,719,2061,C#,757163,0.718060774018617,6836238,1966,master,D:\DataCollection\repos\Nethereum_Nethereum,,18
XINCGer/Unity3DTraining,https://github.com/XINCGer/Unity3DTraining,git://github.com/XINCGer/Unity3DTraining.git,1761,6117,C#,753213,0.6284028765596136,6863376,4282,master,D:\DataCollection\repos\XINCGer_Unity3DTraining,,81
Unity-Technologies/FontainebleauDemo,https://github.com/Unity-Technologies/FontainebleauDemo,git://github.com/Unity-Technologies/FontainebleauDemo.git,257,1019,C#,746068,0.9639390267041248,629965,65,master,D:\DataCollection\repos\Unity-Technologies_FontainebleauDemo,,929
sn4k3/UVtools,https://github.com/sn4k3/UVtools,git://github.com/sn4k3/UVtools.git,96,936,C#,745373,0.953939063582696,4000643,1220,master,D:\DataCollection\repos\sn4k3_UVtools,,16
huika/UMA,https://github.com/huika/UMA,git://github.com/huika/UMA.git,58,166,C#,734614,0.9832575553044222,823079,533,master,D:\DataCollection\repos\huika_UMA,,9
PacktPublishing/Unity-2021-Cookbook-Fourth-Edition,https://github.com/PacktPublishing/Unity-2021-Cookbook-Fourth-Edition,git://github.com/PacktPublishing/Unity-2021-Cookbook-Fourth-Edition.git,44,83,C#,730922,0.942064919492977,219991,146,master,D:\DataCollection\repos\PacktPublishing_Unity-2021-Cookbook-Fourth-Edition,,129
dukus/digiCamControl,https://github.com/dukus/digiCamControl,git://github.com/dukus/digiCamControl.git,222,619,C#,728826,0.950874256662795,4232541,1277,master,D:\DataCollection\repos\dukus_digiCamControl,,22
AnyRPG/AnyRPGCore,https://github.com/AnyRPG/AnyRPGCore,git://github.com/AnyRPG/AnyRPGCore.git,85,604,C#,718386,0.9971691031735932,4670768,1308,master,D:\DataCollection\repos\AnyRPG_AnyRPGCore,,82
dreamanlan/CSharpGameFramework,https://github.com/dreamanlan/CSharpGameFramework,git://github.com/dreamanlan/CSharpGameFramework.git,88,258,C#,706282,0.9009584465914796,6956238,258,master,D:\DataCollection\repos\dreamanlan_CSharpGameFramework,,83
ciribob/DCS-SimpleRadioStandalone,https://github.com/ciribob/DCS-SimpleRadioStandalone,git://github.com/ciribob/DCS-SimpleRadioStandalone.git,109,427,C#,702447,0.863852076923008,2894802,1288,master,D:\DataCollection\repos\ciribob_DCS-SimpleRadioStandalone,,5
ravendb/ravendb,https://github.com/ravendb/ravendb,git://github.com/ravendb/ravendb.git,817,3312,C#,702429,0.8237209070542404,53224990,64486,v5.4,D:\DataCollection\repos\ravendb_ravendb,,16
SaviorXTanren/mixer-mixitup,https://github.com/SaviorXTanren/mixer-mixitup,git://github.com/SaviorXTanren/mixer-mixitup.git,55,174,C#,701965,0.9012961678745846,3565013,7271,master,D:\DataCollection\repos\SaviorXTanren_mixer-mixitup,,6
FlashShifter/StardewValleyExpanded,https://github.com/FlashShifter/StardewValleyExpanded,git://github.com/FlashShifter/StardewValleyExpanded.git,49,351,C#,700427,1.0,267206,70,master,D:\DataCollection\repos\FlashShifter_StardewValleyExpanded,,100
Unity-Technologies/DOTS-training-samples,https://github.com/Unity-Technologies/DOTS-training-samples,git://github.com/Unity-Technologies/DOTS-training-samples.git,345,1389,C#,699424,0.9674496222792442,1078300,216,master,D:\DataCollection\repos\Unity-Technologies_DOTS-training-samples,,6
dotnet/Silk.NET,https://github.com/dotnet/Silk.NET,git://github.com/dotnet/Silk.NET.git,309,3098,C#,696588,0.9975277386582164,308429441,1243,main,D:\DataCollection\repos\dotnet_Silk.NET,,52
Vocaluxe/Vocaluxe,https://github.com/Vocaluxe/Vocaluxe,git://github.com/Vocaluxe/Vocaluxe.git,73,264,C#,690224,0.9674880311097694,6832861,3391,develop,D:\DataCollection\repos\Vocaluxe_Vocaluxe,,4
antonpup/Aurora,https://github.com/antonpup/Aurora,git://github.com/antonpup/Aurora.git,373,1806,C#,684271,0.9376281413832058,4076103,2570,master,D:\DataCollection\repos\antonpup_Aurora,,9
