name,html_url,git_url,forks,stars,language,size,csharp_percent,csharp_lines,commit_count,default_branch
duplicati/duplicati,https://github.com/duplicati/duplicati,git://github.com/duplicati/duplicati.git,836,9291,C#,162539,0.8462030233299009,4712134,8279,master
Sonarr/Sonarr,https://github.com/Sonarr/Sonarr,git://github.com/Sonarr/Sonarr.git,1150,9111,C#,292776,0.7222243554352654,6959325,10075,develop
MahApps/MahApps.Metro,https://github.com/MahApps/MahApps.Metro,git://github.com/MahApps/MahApps.Metro.git,2435,8889,C#,121269,0.9998685978525841,2427343,6269,develop
nopSolutions/nopCommerce,https://github.com/nopSolutions/nopCommerce,git://github.com/nopSolutions/nopCommerce.git,4862,8453,C#,1118488,0.6174691814414406,14320315,14395,develop
Radarr/Radarr,https://github.com/Radarr/Radarr,git://github.com/Radarr/Radarr.git,859,8059,C#,308663,0.694078315273321,6339129,11959,develop
JeffreySu/WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,git://github.com/JeffreySu/WeiXinMPSDK.git,4338,7995,C#,150821,0.9754516778368559,8535567,10188,master
unoplatform/uno,https://github.com/unoplatform/uno,git://github.com/unoplatform/uno.git,659,7929,C#,212138,0.990299547444958,46502093,24545,master
QuantConnect/Lean,https://github.com/QuantConnect/Lean,git://github.com/QuantConnect/Lean.git,2958,7899,C#,519734,0.9349374854215485,23175509,12058,master
mRemoteNG/mRemoteNG,https://github.com/mRemoteNG/mRemoteNG,git://github.com/mRemoteNG/mRemoteNG.git,1382,7867,C#,262503,0.9931746672421004,10233784,5157,v1.77.3-dev
egametang/ET,https://github.com/egametang/ET,git://github.com/egametang/ET.git,2760,7583,C#,159522,0.9284302496011324,2017504,2281,master
microsoft/ailab,https://github.com/microsoft/ailab,git://github.com/microsoft/ailab.git,1385,7498,C#,103609,0.6123761081286542,1472530,136,master
gitextensions/gitextensions,https://github.com/gitextensions/gitextensions,git://github.com/gitextensions/gitextensions.git,2074,7136,C#,138076,0.9860182861668156,6862918,16068,master
OrchardCMS/OrchardCore,https://github.com/OrchardCMS/OrchardCore,git://github.com/OrchardCMS/OrchardCore.git,2224,6795,C#,216574,0.6079543881418771,8914986,6982,main
SixLabors/ImageSharp,https://github.com/SixLabors/ImageSharp,git://github.com/SixLabors/ImageSharp.git,817,6739,C#,117612,0.9952188191096292,10681181,12910,main
Unity-Technologies/EntityComponentSystemSamples,https://github.com/Unity-Technologies/EntityComponentSystemSamples,git://github.com/Unity-Technologies/EntityComponentSystemSamples.git,1417,6209,C#,453493,0.9749314657659004,2125996,94,master
XINCGer/Unity3DTraining,https://github.com/XINCGer/Unity3DTraining,git://github.com/XINCGer/Unity3DTraining.git,1761,6117,C#,753213,0.6284028765596136,6863376,4282,master
SubtitleEdit/subtitleedit,https://github.com/SubtitleEdit/subtitleedit,git://github.com/SubtitleEdit/subtitleedit.git,769,6053,C#,437885,0.9371605885881015,15739330,18280,main
StockSharp/StockSharp,https://github.com/StockSharp/StockSharp,git://github.com/StockSharp/StockSharp.git,1605,5996,C#,1917638,1.0,4320122,8583,master
NLog/NLog,https://github.com/NLog/NLog,git://github.com/NLog/NLog.git,1363,5976,C#,114942,0.9989508377158418,6963010,6662,dev
microsoft/MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,git://github.com/microsoft/MixedRealityToolkit-Unity.git,2163,5888,C#,1920532,0.9703057181556894,10238958,17113,main
d2phap/ImageGlass,https://github.com/d2phap/ImageGlass,git://github.com/d2phap/ImageGlass.git,430,5795,C#,308487,0.9978371169728162,2247677,1904,develop
microsoft/microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,git://github.com/microsoft/microsoft-ui-xaml.git,651,5702,C#,170854,0.505594342407344,6334093,1846,main
subhra74/xdm,https://github.com/subhra74/xdm,git://github.com/subhra74/xdm.git,1037,5699,C#,304146,0.8659262274981488,1818536,497,master
xamarin/Xamarin.Forms,https://github.com/xamarin/Xamarin.Forms,git://github.com/xamarin/Xamarin.Forms.git,1923,5660,C#,111107,0.998880730615615,15452598,5816,5.0.0
CommunityToolkit/WindowsCommunityToolkit,https://github.com/CommunityToolkit/WindowsCommunityToolkit,git://github.com/CommunityToolkit/WindowsCommunityToolkit.git,1391,5623,C#,309498,0.9956464979831317,8145384,13534,main
UnityTechnologies/open-project-1,https://github.com/UnityTechnologies/open-project-1,git://github.com/UnityTechnologies/open-project-1.git,1999,5410,C#,4876097,0.8993135797693098,706695,1962,main
ServiceStack/ServiceStack,https://github.com/ServiceStack/ServiceStack,git://github.com/ServiceStack/ServiceStack.git,1628,5268,C#,452580,0.8042994899631233,30194216,14707,main
nissl-lab/npoi,https://github.com/nissl-lab/npoi,git://github.com/nissl-lab/npoi.git,1371,5238,C#,126203,0.9997021884290743,25199707,3361,master
dotnet/msbuild,https://github.com/dotnet/msbuild,git://github.com/dotnet/msbuild.git,1350,5021,C#,104160,0.9789226600418054,30183465,8002,main
bitwarden/mobile,https://github.com/bitwarden/mobile,git://github.com/bitwarden/mobile.git,687,4988,C#,1396682,0.960944232495934,2553569,3727,master
EventStore/EventStore,https://github.com/EventStore/EventStore,git://github.com/EventStore/EventStore.git,639,4929,C#,324114,0.9958483180925165,10244687,7938,master
Azure/azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,git://github.com/Azure/azure-sdk-for-net.git,4324,4768,C#,4055249,0.9915417044157468,122211040,24000,main
laochiangx/Common.Utility,https://github.com/laochiangx/Common.Utility,git://github.com/laochiangx/Common.Utility.git,2028,4669,C#,113415,0.7971407516439686,3332757,115,master
Unity-Technologies/FPSSample,https://github.com/Unity-Technologies/FPSSample,git://github.com/Unity-Technologies/FPSSample.git,1822,4661,C#,218876,0.8244724010707488,10301316,18,master
ChilliCream/graphql-platform,https://github.com/ChilliCream/graphql-platform,git://github.com/ChilliCream/graphql-platform.git,685,4648,C#,774782,0.9760014052720279,18674481,3274,main
HearthSim/Hearthstone-Deck-Tracker,https://github.com/HearthSim/Hearthstone-Deck-Tracker,git://github.com/HearthSim/Hearthstone-Deck-Tracker.git,1129,4589,C#,135235,0.994012181079224,2119229,4505,master
MirrorNetworking/Mirror,https://github.com/MirrorNetworking/Mirror,git://github.com/MirrorNetworking/Mirror.git,697,4447,C#,373747,0.9987396044409751,2862155,7865,master
opserver/Opserver,https://github.com/opserver/Opserver,git://github.com/opserver/Opserver.git,835,4400,C#,124974,0.40308027592170453,1331302,1014,main
xamarin/xamarin-forms-samples,https://github.com/xamarin/xamarin-forms-samples,git://github.com/xamarin/xamarin-forms-samples.git,7597,4310,C#,488002,0.9925370367506738,5327382,2920,main
OptiKey/OptiKey,https://github.com/OptiKey/OptiKey,git://github.com/OptiKey/OptiKey.git,522,4193,C#,397521,0.9652567290227867,2339402,3594,main
umbraco/Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,git://github.com/umbraco/Umbraco-CMS.git,2542,4008,C#,321286,0.6965398079039761,16946537,43629,contrib
dotnet/winforms,https://github.com/dotnet/winforms,git://github.com/dotnet/winforms.git,898,3985,C#,179920,0.9773546786533476,40317844,8266,main
dotnetcore/WTM,https://github.com/dotnetcore/WTM,git://github.com/dotnetcore/WTM.git,854,3933,C#,139978,0.9555354550755154,1804329,3816,dotnet6
EsotericSoftware/spine-runtimes,https://github.com/EsotericSoftware/spine-runtimes,git://github.com/EsotericSoftware/spine-runtimes.git,2827,3923,C#,367437,0.22937222222643647,2419009,7808,4.1
ScottPlot/ScottPlot,https://github.com/ScottPlot/ScottPlot,git://github.com/ScottPlot/ScottPlot.git,621,3797,C#,135326,0.9911587479066849,3526299,8344,main
microsoft/perfview,https://github.com/microsoft/perfview,git://github.com/microsoft/perfview.git,677,3753,C#,284687,0.9030462306862695,13397956,3168,main
ExtendRealityLtd/VRTK,https://github.com/ExtendRealityLtd/VRTK,git://github.com/ExtendRealityLtd/VRTK.git,996,3649,C#,102675,1.0,31720,2473,master
MediaBrowser/Emby,https://github.com/MediaBrowser/Emby,git://github.com/MediaBrowser/Emby.git,778,3631,C#,1567749,0.9556492333073863,7729528,15005,master
dotnet/docfx,https://github.com/dotnet/docfx,git://github.com/dotnet/docfx.git,818,3623,C#,461559,0.8461256946665169,3132777,4790,main
tModLoader/tModLoader,https://github.com/tModLoader/tModLoader,git://github.com/tModLoader/tModLoader.git,1735,3574,C#,592389,0.982794422272946,5074202,5304,1.4.4
liangxiegame/QFramework,https://github.com/liangxiegame/QFramework,git://github.com/liangxiegame/QFramework.git,721,3573,C#,511954,0.9932289262218997,11099370,200,master
elastic/elasticsearch-net,https://github.com/elastic/elasticsearch-net,git://github.com/elastic/elasticsearch-net.git,1152,3471,C#,159683,0.9915383313752703,10277975,7996,main
Tichau/FileConverter,https://github.com/Tichau/FileConverter,git://github.com/Tichau/FileConverter.git,334,3374,C#,138945,0.9958193403636865,418988,618,integration
Cysharp/MagicOnion,https://github.com/Cysharp/MagicOnion,git://github.com/Cysharp/MagicOnion.git,402,3351,C#,477897,0.9935574470354361,3353624,1628,main
ravendb/ravendb,https://github.com/ravendb/ravendb,git://github.com/ravendb/ravendb.git,817,3312,C#,702429,0.8237209070542404,53224990,64486,v5.4
playgameservices/play-games-plugin-for-unity,https://github.com/playgameservices/play-games-plugin-for-unity,git://github.com/playgameservices/play-games-plugin-for-unity.git,962,3309,C#,1753210,0.9216204315279612,412321,123,master
mathnet/mathnet-numerics,https://github.com/mathnet/mathnet-numerics,git://github.com/mathnet/mathnet-numerics.git,877,3238,C#,148349,0.9729883590805971,12921084,3344,master
intel/acat,https://github.com/intel/acat,git://github.com/intel/acat.git,629,3191,C#,177629,0.5475702169917046,4530320,51,master
dotnet/Silk.NET,https://github.com/dotnet/Silk.NET,git://github.com/dotnet/Silk.NET.git,309,3098,C#,696588,0.9975277386582163,308429441,1243,main
wave-harmonic/crest,https://github.com/wave-harmonic/crest,git://github.com/wave-harmonic/crest.git,439,3092,C#,276384,0.7846040967554604,1030867,5142,master
AutoFixture/AutoFixture,https://github.com/AutoFixture/AutoFixture,git://github.com/AutoFixture/AutoFixture.git,339,3085,C#,104873,0.9888489210504546,3801335,4215,master
UnigramDev/Unigram,https://github.com/UnigramDev/Unigram,git://github.com/UnigramDev/Unigram.git,406,3084,C#,322146,0.6686977214707761,10843300,9007,develop
mongodb/mongo-csharp-driver,https://github.com/mongodb/mongo-csharp-driver,git://github.com/mongodb/mongo-csharp-driver.git,1270,3044,C#,773322,0.9833648488059361,24337512,4446,master
dotnet/samples,https://github.com/dotnet/samples,git://github.com/dotnet/samples.git,4910,3028,C#,282437,0.7192334781019599,8007181,5270,main
fluentmigrator/fluentmigrator,https://github.com/fluentmigrator/fluentmigrator,git://github.com/fluentmigrator/fluentmigrator.git,638,2993,C#,134283,0.967475134435774,4594284,2685,master
oskardudycz/EventSourcing.NetCore,https://github.com/oskardudycz/EventSourcing.NetCore,git://github.com/oskardudycz/EventSourcing.NetCore.git,464,2980,C#,102894,0.9978291388853824,1043398,913,main
Lidarr/Lidarr,https://github.com/Lidarr/Lidarr,git://github.com/Lidarr/Lidarr.git,213,2964,C#,317816,0.7015817010972092,6228180,9962,develop
SciSharp/TensorFlow.NET,https://github.com/SciSharp/TensorFlow.NET,git://github.com/SciSharp/TensorFlow.NET.git,484,2934,C#,380579,0.9926500160289103,11921280,2357,master
libgit2/libgit2sharp,https://github.com/libgit2/libgit2sharp,git://github.com/libgit2/libgit2sharp.git,873,2923,C#,164161,1.0,2537393,2764,master
tooll3/t3,https://github.com/tooll3/t3,git://github.com/tooll3/t3.git,155,2909,C#,491351,0.9082296606217922,8632643,3725,master
nxrighthere/UnrealCLR,https://github.com/nxrighthere/UnrealCLR,git://github.com/nxrighthere/UnrealCLR.git,202,2891,C#,816535,0.6523453360299674,682834,381,master
Franiac/TwitchLeecher,https://github.com/Franiac/TwitchLeecher,git://github.com/Franiac/TwitchLeecher.git,426,2853,C#,238412,1.0,538416,393,master
p-org/P,https://github.com/p-org/P,git://github.com/p-org/P.git,166,2782,C#,150266,0.46353181599615323,2082222,4097,master
Prowlarr/Prowlarr,https://github.com/Prowlarr/Prowlarr,git://github.com/Prowlarr/Prowlarr.git,145,2779,C#,273340,0.766234109021732,4702840,11915,develop
linq2db/linq2db,https://github.com/linq2db/linq2db,git://github.com/linq2db/linq2db.git,442,2717,C#,485404,0.989020990408911,23278952,6080,master
QianMo/X-PostProcessing-Library,https://github.com/QianMo/X-PostProcessing-Library,git://github.com/QianMo/X-PostProcessing-Library.git,615,2701,C#,186054,0.5568037382532858,1291435,181,master
CosmosOS/Cosmos,https://github.com/CosmosOS/Cosmos,git://github.com/CosmosOS/Cosmos.git,521,2670,C#,266284,0.927717338271828,7577290,10686,master
smartstore/SmartStoreNET,https://github.com/smartstore/SmartStoreNET,git://github.com/smartstore/SmartStoreNET.git,1480,2598,C#,204927,0.7263058574879228,14433150,9232,4.x
dotnet/interactive,https://github.com/dotnet/interactive,git://github.com/dotnet/interactive.git,349,2535,C#,111488,0.7234428251269742,3818787,4897,main
octokit/octokit.net,https://github.com/octokit/octokit.net,git://github.com/octokit/octokit.net.git,1143,2512,C#,112001,0.9990060618413427,9724331,5052,main
microsoft/PTVS,https://github.com/microsoft/PTVS,git://github.com/microsoft/PTVS.git,727,2476,C#,390317,0.892491185540139,11836991,9715,main
dafny-lang/dafny,https://github.com/dafny-lang/dafny,git://github.com/dafny-lang/dafny.git,234,2468,C#,222737,0.6253920339993331,8549939,6129,master
serenity-is/Serenity,https://github.com/serenity-is/Serenity,git://github.com/serenity-is/Serenity.git,776,2458,C#,124812,0.44264561505253536,3739946,4734,master
FreyaHolmer/ShaderForge,https://github.com/FreyaHolmer/ShaderForge,git://github.com/FreyaHolmer/ShaderForge.git,519,2430,C#,308623,0.6326705031416032,991215,702,master
mgth/LittleBigMouse,https://github.com/mgth/LittleBigMouse,git://github.com/mgth/LittleBigMouse.git,153,2405,C#,251497,0.8834355755580104,1492234,222,master
micjahn/ZXing.Net,https://github.com/micjahn/ZXing.Net,git://github.com/micjahn/ZXing.Net.git,639,2384,C#,233294,0.9927422677422979,4108310,1394,master
Revolutionary-Games/Thrive,https://github.com/Revolutionary-Games/Thrive,git://github.com/Revolutionary-Games/Thrive.git,464,2376,C#,110088,0.9951213984515573,4346949,6284,master
dotnet/sdk,https://github.com/dotnet/sdk,git://github.com/dotnet/sdk.git,997,2357,C#,212344,0.9636568504934079,12185358,59223,main
OrchardCMS/Orchard,https://github.com/OrchardCMS/Orchard,git://github.com/OrchardCMS/Orchard.git,1127,2338,C#,198517,0.4441962149207344,9467225,11544,dev
Sergio0694/ComputeSharp,https://github.com/Sergio0694/ComputeSharp,git://github.com/Sergio0694/ComputeSharp.git,106,2320,C#,123481,0.9998746981054656,9934758,3524,main
Unity-Technologies/BoatAttack,https://github.com/Unity-Technologies/BoatAttack,git://github.com/Unity-Technologies/BoatAttack.git,893,2317,C#,118524,0.7491820980193074,418374,254,master
xamarin/xamarin-macios,https://github.com/xamarin/xamarin-macios,git://github.com/xamarin/xamarin-macios.git,502,2303,C#,206747,0.9540450572203945,32451814,15850,main
Syomus/ProceduralToolkit,https://github.com/Syomus/ProceduralToolkit,git://github.com/Syomus/ProceduralToolkit.git,200,2295,C#,772262,0.9777755966328099,1484323,723,master
veldrid/veldrid,https://github.com/veldrid/veldrid,git://github.com/veldrid/veldrid.git,253,2294,C#,231465,0.9878919874766429,3103926,1119,master
Unity-Technologies/Graphics,https://github.com/Unity-Technologies/Graphics,git://github.com/Unity-Technologies/Graphics.git,738,2240,C#,6433544,0.8125199684620923,33793180,26239,master
xamarin/monodroid-samples,https://github.com/xamarin/monodroid-samples,git://github.com/xamarin/monodroid-samples.git,4121,2198,C#,344314,0.9827978456681215,5376545,1669,main
bitbeans/SimpleDnsCrypt,https://github.com/bitbeans/SimpleDnsCrypt,git://github.com/bitbeans/SimpleDnsCrypt.git,239,2187,C#,101328,1.0,278016,788,master
Readarr/Readarr,https://github.com/Readarr/Readarr,git://github.com/Readarr/Readarr.git,120,2154,C#,285867,0.6814290784134326,5888998,10183,develop
SpecFlowOSS/SpecFlow,https://github.com/SpecFlowOSS/SpecFlow,git://github.com/SpecFlowOSS/SpecFlow.git,753,2142,C#,103052,0.9269653144061054,2013339,3036,master
ONLYOFFICE/CommunityServer,https://github.com/ONLYOFFICE/CommunityServer,git://github.com/ONLYOFFICE/CommunityServer.git,571,2141,C#,261077,0.7021005631070437,38216186,107,master
rebus-org/Rebus,https://github.com/rebus-org/Rebus,git://github.com/rebus-org/Rebus.git,348,2126,C#,472009,0.9975677026793522,1512574,3387,master
Azure-Samples/cognitive-services-speech-sdk,https://github.com/Azure-Samples/cognitive-services-speech-sdk,git://github.com/Azure-Samples/cognitive-services-speech-sdk.git,1595,2109,C#,257847,0.3043772252704725,283139,459,master
cyanfish/naps2,https://github.com/cyanfish/naps2,git://github.com/cyanfish/naps2.git,293,2070,C#,106967,0.7899194993065756,2389952,3438,master
charlesw/tesseract,https://github.com/charlesw/tesseract,git://github.com/charlesw/tesseract.git,726,2062,C#,176103,0.9997081902893575,407681,423,master
microsoft/playwright-dotnet,https://github.com/microsoft/playwright-dotnet,git://github.com/microsoft/playwright-dotnet.git,201,2061,C#,219376,0.4985108338466202,3864618,1213,main
Nethereum/Nethereum,https://github.com/Nethereum/Nethereum,git://github.com/Nethereum/Nethereum.git,719,2061,C#,757163,0.718060774018617,6836238,1966,master
apache/lucenenet,https://github.com/apache/lucenenet,git://github.com/apache/lucenenet.git,634,2039,C#,174795,0.9918212002510546,41754888,6749,master
filoe/cscore,https://github.com/filoe/cscore,git://github.com/filoe/cscore.git,457,2030,C#,143190,0.9661474679058494,2716769,468,master
MonkSoul/Furion,https://github.com/MonkSoul/Furion,git://github.com/MonkSoul/Furion.git,368,2017,C#,1351152,0.9890914486216292,8426256,6758,v4
xamarin/XamarinComponents,https://github.com/xamarin/XamarinComponents,git://github.com/xamarin/XamarinComponents.git,713,1999,C#,141617,0.9900230674053391,6811627,4175,main
Particular/NServiceBus,https://github.com/Particular/NServiceBus,git://github.com/Particular/NServiceBus.git,639,1989,C#,164251,0.9999296078160969,3821178,12268,master
Coolapk-UWP/Coolapk-UWP,https://github.com/Coolapk-UWP/Coolapk-UWP,git://github.com/Coolapk-UWP/Coolapk-UWP.git,169,1985,C#,344631,0.972182928593606,2990284,556,revived
MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,https://github.com/MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure,git://github.com/MicrosoftLearning/AZ-204-DevelopingSolutionsforMicrosoftAzure.git,1589,1959,C#,147763,0.6808710951969379,44115,1345,master
n00mkrad/cupscale,https://github.com/n00mkrad/cupscale,git://github.com/n00mkrad/cupscale.git,107,1957,C#,102135,1.0,301341,212,master
dotnetcore/Magicodes.IE,https://github.com/dotnetcore/Magicodes.IE,git://github.com/dotnetcore/Magicodes.IE.git,459,1942,C#,151035,0.9908299347176823,7474824,1229,master
Interkarma/daggerfall-unity,https://github.com/Interkarma/daggerfall-unity,git://github.com/Interkarma/daggerfall-unity.git,286,1910,C#,135499,0.9424399184922503,11417817,10164,master
zkSNACKs/WalletWasabi,https://github.com/zkSNACKs/WalletWasabi,git://github.com/zkSNACKs/WalletWasabi.git,473,1904,C#,933554,0.9885669169548944,4340999,33239,master
Unity-Technologies/UniversalRenderingExamples,https://github.com/Unity-Technologies/UniversalRenderingExamples,git://github.com/Unity-Technologies/UniversalRenderingExamples.git,415,1880,C#,1001750,0.7509774728120145,464044,144,master
Azure/azure-functions-host,https://github.com/Azure/azure-functions-host,git://github.com/Azure/azure-functions-host.git,424,1868,C#,100397,0.9626516086178033,6646268,3504,dev
SonyWWS/ATF,https://github.com/SonyWWS/ATF,git://github.com/SonyWWS/ATF.git,265,1868,C#,141455,0.9833036615042302,12633806,159,master
TASEmulators/BizHawk,https://github.com/TASEmulators/BizHawk,git://github.com/TASEmulators/BizHawk.git,364,1861,C#,1041040,0.342572717005832,15064775,20479,master
emgucv/emgucv,https://github.com/emgucv/emgucv,git://github.com/emgucv/emgucv.git,554,1835,C#,251441,0.5571308282856817,5111984,5341,master
hitchao/Jvedio,https://github.com/hitchao/Jvedio,git://github.com/hitchao/Jvedio.git,225,1825,C#,150488,0.9693173849934558,1046445,104,master
xamarin/xamarin-android,https://github.com/xamarin/xamarin-android,git://github.com/xamarin/xamarin-android.git,539,1809,C#,111014,0.8764527846811324,5679010,4965,main
antonpup/Aurora,https://github.com/antonpup/Aurora,git://github.com/antonpup/Aurora.git,373,1806,C#,684271,0.9376281413832058,4076103,2570,master
microsoft/nodejstools,https://github.com/microsoft/nodejstools,git://github.com/microsoft/nodejstools.git,391,1796,C#,131092,0.9667686777963902,5022226,4672,main
uxmal/reko,https://github.com/uxmal/reko,git://github.com/uxmal/reko.git,231,1787,C#,817756,0.6271513691538805,28723946,10534,master
rubberduck-vba/Rubberduck,https://github.com/rubberduck-vba/Rubberduck,git://github.com/rubberduck-vba/Rubberduck.git,294,1787,C#,105781,0.9464182593059619,11177158,14736,next
LavaGang/MelonLoader,https://github.com/LavaGang/MelonLoader,git://github.com/LavaGang/MelonLoader.git,414,1751,C#,349037,0.7751632874268143,1438886,1502,master
ErikEJ/EFCorePowerTools,https://github.com/ErikEJ/EFCorePowerTools,git://github.com/ErikEJ/EFCorePowerTools.git,251,1742,C#,2299303,0.998823242533961,3997814,1727,master
JasonXuDeveloper/JEngine,https://github.com/JasonXuDeveloper/JEngine,git://github.com/JasonXuDeveloper/JEngine.git,311,1711,C#,102273,0.9975887907076925,3330110,991,master
servicetitan/Stl.Fusion,https://github.com/servicetitan/Stl.Fusion,git://github.com/servicetitan/Stl.Fusion.git,106,1690,C#,116901,0.9976951820455399,2502876,2886,master
ComponentFactory/Krypton,https://github.com/ComponentFactory/Krypton,git://github.com/ComponentFactory/Krypton.git,647,1686,C#,161889,1.0,19637203,63,master
Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub,git://github.com/Unity-Technologies/Unity-Robotics-Hub.git,376,1676,C#,113164,0.6402506450423885,60795,130,main
NewLifeX/X,https://github.com/NewLifeX/X,git://github.com/NewLifeX/X.git,560,1661,C#,140908,0.9995444784396808,5474743,10908,master
yhuse/SunnyUI,https://github.com/yhuse/SunnyUI,git://github.com/yhuse/SunnyUI.git,366,1660,C#,468796,1.0,3784324,1426,master
open-rpa/openrpa,https://github.com/open-rpa/openrpa,git://github.com/open-rpa/openrpa.git,484,1628,C#,119554,0.9309695333284803,4181998,2220,master
vovgou/loxodon-framework,https://github.com/vovgou/loxodon-framework,git://github.com/vovgou/loxodon-framework.git,330,1602,C#,176884,0.9790961285166451,3863950,384,master
JasonMa0012/JTRP,https://github.com/JasonMa0012/JTRP,git://github.com/JasonMa0012/JTRP.git,375,1592,C#,460506,0.5188908768032563,390084,34,master
xamarin/ios-samples,https://github.com/xamarin/ios-samples,git://github.com/xamarin/ios-samples.git,1952,1589,C#,1499066,0.9751619261678006,7663781,3179,main
helix-toolkit/helix-toolkit,https://github.com/helix-toolkit/helix-toolkit,git://github.com/helix-toolkit/helix-toolkit.git,632,1583,C#,354272,0.96945700885269,9289942,5246,develop
Unity-Technologies/VisualEffectGraph-Samples,https://github.com/Unity-Technologies/VisualEffectGraph-Samples,git://github.com/Unity-Technologies/VisualEffectGraph-Samples.git,349,1578,C#,1963357,1.0,104910,54,master
microsoft/AdaptiveCards,https://github.com/microsoft/AdaptiveCards,git://github.com/microsoft/AdaptiveCards.git,525,1575,C#,368351,0.2620096739757549,2196185,3715,main
atmosgames/SuperSimple2DKit,https://github.com/atmosgames/SuperSimple2DKit,git://github.com/atmosgames/SuperSimple2DKit.git,568,1568,C#,150050,0.8118520468606029,308382,15,master
PokemonUnity/PokemonUnity,https://github.com/PokemonUnity/PokemonUnity,git://github.com/PokemonUnity/PokemonUnity.git,449,1559,C#,403365,0.9493905984466511,1689939,1527,master
KhronosGroup/UnityGLTF,https://github.com/KhronosGroup/UnityGLTF,git://github.com/KhronosGroup/UnityGLTF.git,457,1555,C#,209731,0.9200450148709841,549392,435,master
microsoft/CDM,https://github.com/microsoft/CDM,git://github.com/microsoft/CDM.git,492,1539,C#,117603,0.2828286099882888,3423056,342,master
space-wizards/space-station-14,https://github.com/space-wizards/space-station-14,git://github.com/space-wizards/space-station-14.git,1853,1534,C#,489642,0.9519905791546105,15390548,19697,master
